"id","Geo Footnote","Geographic Area Name","2017 NAICS code","2017 NAICS Footnote","Meaning of NAICS code","Year","Number of firms","Number of establishments","Sales, value of shipments, or revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)","Number of employees","Range indicating percent of total sales, value of shipments, or revenue imputed","Range indicating percent of total annual payroll imputed","Range indicating percent of total employees imputed"
"0400000US42","null","Pennsylvania","4431","null","Electronics and appliance stores","2017","733","1172","2669309","322363","80998","11985","10% to less than 20%","20% to less than 30%","10% to less than 20%"
"0400000US42","null","Pennsylvania","4441","null","Building material and supplies dealers","2017","1503","2346","11212131","1296860","309592","42733","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","4442","null","Lawn and garden equipment and supplies stores","2017","689","822","1673974","196129","40318","7076","Less than 10%","10% to less than 20%","20% to less than 30%"
"0400000US42","null","Pennsylvania","4451","null","Grocery stores","2017","2748","3771","25969736","2697574","672170","130902","10% to less than 20%","20% to less than 30%","20% to less than 30%"
"0400000US42","null","Pennsylvania","4452","null","Specialty food stores","2017","941","1101","1019505","137044","32551","7937","10% to less than 20%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","4453","null","Beer, wine, and liquor stores","2017","1225","1869","3352946","239335","56689","9450","Less than 10%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","4461","null","Health and personal care stores","2017","1704","4140","14467856","1503085","380830","46288","10% to less than 20%","20% to less than 30%","20% to less than 30%"
"0400000US42","null","Pennsylvania","4471","null","Gasoline stations","2017","1952","3874","19687208","832692","200143","41656","10% to less than 20%","10% to less than 20%","Less than 10%"
"0400000US42","null","Pennsylvania","4481","null","Clothing stores","2017","1197","3355","6013398","747042","175213","50301","20% to less than 30%","20% to less than 30%","30% to less than 40%"
"0400000US42","null","Pennsylvania","4482","null","Shoe stores","2017","230","992","1436854","160607","38462","9963","20% to less than 30%","20% to less than 30%","30% to less than 40%"
"0400000US42","null","Pennsylvania","4483","null","Jewelry, luggage, and leather goods stores","2017","616","890","1104315","151483","40686","4807","10% to less than 20%","Less than 10%","Less than 10%"
"0400000US42","null","Pennsylvania","4511","null","Sporting goods, hobby, and musical instrument stores","2017","1058","1461","2511773","295300","68360","16798","10% to less than 20%","10% to less than 20%","10% to less than 20%"
